ISOAlpha3,Country,Indicator,Age,Sex,Year,Domain,Indicator Code,Lower value,Upper value,Value
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2003,Level of consumption,SA_0000001688,1.29,2.2,1.7
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2003,Level of consumption,SA_0000001688,2.3,3.81,3.02
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2003,Level of consumption,SA_0000001688,4.14,5.85,4.88
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2003,Level of consumption,SA_0000001688,1.57,2.3,1.93
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2003,Level of consumption,SA_0000001688,1.8,2.64,2.2
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2003,Level of consumption,SA_0000001688,2.08,2.94,2.5
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,1.96,3.17,2.46
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,1.27,3.14,2.13
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,2.6,3.75,3.1
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,2.59,3.92,3.25
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,2.86,4.16,3.48
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,2.52,3.68,3.07
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,1.24,2.13,1.65
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,2.55,4.14,3.28
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,4.21,5.95,4.98
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,1.7,2.47,2.08
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,1.79,2.64,2.2
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2004,Level of consumption,SA_0000001688,2.19,3.05,2.59
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.22,3.43,2.7
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,1.3,3.14,2.14
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.74,3.9,3.26
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.63,4.1,3.38
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.83,3.99,3.38
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.17,3.14,2.63
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,1.24,2.08,1.62
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.69,4.53,3.58
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,4.09,5.82,4.89
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,1.75,2.59,2.18
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,1.82,2.6,2.18
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2005,Level of consumption,SA_0000001688,2.29,3.18,2.71
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,2.44,3.75,2.95
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,1.42,3.21,2.23
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,2.87,4.09,3.39
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,2.66,4.07,3.38
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,2.83,4.08,3.47
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,1.85,2.62,2.21
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,1.2,2.02,1.6
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,2.8,4.73,3.73
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,4.22,5.94,5.01
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,1.83,2.64,2.26
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,1.83,2.64,2.2
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2006,Level of consumption,SA_0000001688,2.41,3.29,2.8
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,2.46,3.85,3
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,1.47,3.29,2.27
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,3.02,4.26,3.53
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,2.71,4.19,3.44
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,2.86,4.1,3.5
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,1.85,2.58,2.2
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,1.17,1.96,1.56
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,2.77,4.65,3.67
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,4.01,5.73,4.84
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,1.99,2.81,2.39
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,1.87,2.7,2.26
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2007,Level of consumption,SA_0000001688,2.42,3.41,2.84
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,2.31,3.63,2.84
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,1.36,3.14,2.16
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,3.03,4.28,3.54
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,2.67,4.02,3.37
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,2.79,3.98,3.4
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,1.88,2.61,2.22
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,1.14,1.94,1.52
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,2.64,4.38,3.45
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,3.72,5.38,4.52
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,2.1,2.94,2.54
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,1.93,2.81,2.33
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2008,Level of consumption,SA_0000001688,2.41,3.34,2.8
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2.17,3.39,2.67
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,1.34,2.97,2.06
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,3.07,4.32,3.57
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2.75,4.19,3.5
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2.63,3.82,3.24
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,1.88,2.64,2.24
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,1.15,1.96,1.53
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2.35,4,3.15
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,3.47,4.96,4.16
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2.2,3.08,2.68
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2,2.92,2.42
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2009,Level of consumption,SA_0000001688,2.34,3.26,2.75
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,1.98,3.27,2.54
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,1.21,2.91,2
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,3.01,4.19,3.5
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,2.86,4.34,3.59
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,2.53,3.68,3.11
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,1.91,2.69,2.28
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,1.17,1.95,1.55
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,2.13,3.68,2.89
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,3.31,4.69,3.95
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,2.21,3.1,2.66
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,2.12,3.07,2.56
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2010,Level of consumption,SA_0000001688,2.29,3.24,2.74
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,2.12,3.36,2.65
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,1.28,2.93,2.03
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,3.03,4.25,3.57
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,3.01,4.61,3.83
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,2.51,3.68,3.09
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,1.94,2.77,2.31
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,1.16,2.04,1.57
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,1.99,3.42,2.71
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,3.2,4.58,3.83
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,2.15,3.08,2.62
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,2.24,3.25,2.71
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2011,Level of consumption,SA_0000001688,2.31,3.29,2.78
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,2.37,3.71,2.96
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,1.24,2.97,2.06
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,3.07,4.39,3.68
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,3.14,4.75,3.94
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,2.52,3.78,3.15
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,1.99,2.79,2.34
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,1.19,2.01,1.59
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,2.03,3.41,2.68
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,3.1,4.47,3.73
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,2.11,3.07,2.59
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,2.34,3.33,2.82
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2012,Level of consumption,SA_0000001688,2.39,3.36,2.84
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2.68,4.15,3.3
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,1.3,3.01,2.09
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,3.26,4.58,3.82
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2.94,4.43,3.69
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2.62,3.84,3.22
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2,2.82,2.37
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,1.21,2.02,1.6
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2,3.37,2.68
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,3.08,4.5,3.71
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2.16,3.07,2.6
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2.27,3.29,2.79
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2013,Level of consumption,SA_0000001688,2.48,3.46,2.91
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2.75,4.34,3.45
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,1.21,3.02,2.11
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,3.37,4.87,4
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2.74,4.19,3.46
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2.74,3.98,3.33
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,1.99,2.78,2.34
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,1.27,2.01,1.61
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2,3.37,2.67
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,3.06,4.5,3.76
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2.21,3.14,2.68
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2.14,3.11,2.63
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2014,Level of consumption,SA_0000001688,2.5,3.51,2.98
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.82,4.45,3.53
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,1.31,3.11,2.14
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,3.58,5.13,4.21
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.49,3.83,3.15
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.83,4.1,3.44
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,1.94,2.68,2.28
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,1.26,2.01,1.62
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.06,3.4,2.69
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,3.21,4.66,3.89
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.27,3.27,2.79
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.15,3.09,2.62
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2015,Level of consumption,SA_0000001688,2.49,3.58,3
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,2.97,4.65,3.69
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,1.27,3.08,2.15
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,3.68,5.17,4.35
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,2.48,3.78,3.14
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,2.9,4.17,3.52
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,1.85,2.57,2.19
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,1.3,2.06,1.65
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,1.98,3.42,2.71
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,3.28,4.82,3.99
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,2.37,3.35,2.88
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,2.2,3.19,2.71
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2016,Level of consumption,SA_0000001688,2.49,3.53,2.96
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,3.2,4.97,3.97
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,1.29,3.09,2.15
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,3.71,5.26,4.39
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,2.35,3.62,3.01
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,2.93,4.21,3.59
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,1.82,2.5,2.14
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,1.31,2.09,1.68
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,2.07,3.5,2.75
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,3.35,4.75,4
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,2.38,3.42,2.9
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,2.41,3.44,2.93
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2017,Level of consumption,SA_0000001688,2.45,3.47,2.92
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2018,Level of consumption,SA_0000001688,3.39,5.21,4.25
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Female,2018,Level of consumption,SA_0000001688,1.34,3.08,2.16
